"B1","B2","B3","B4","B55","B6","B7","B10","B11","profundidade_S","profundidade_ZF","profundidade_F","temperatura_ar","temperatura_agua_S","temperatura_agua_ZF","temperatura_agua_F","condutividade_eletrica_S","condutividade_eletrica_ZF","condutividade_eletrica_F","ph_S","ph_ZF","ph_F","oxigenio_dissolvido_S","oxigenio_dissolvido_ZF","oxigenio_dissolvido_F","clorofila_a_S","clorofila_a_ZF","clorofila_a_F","fosforo_S","fosforo_ZF","fosforo_F","nitrogenio_S","nitrogenio_ZF","nitrogenio_F","solidos_suspensao_S","solidos_suspensao_ZF","solidos_suspensao_F","alcalinidade_S","alcalinidade_ZF","alcalinidade_F","nitrato_S","nitrato_ZF","nitrato_F","dbo_S","dbo_ZF","dbo_F","sdt_S","sdt_ZF","sdt_F","potencial_redox_S","potencial_redox_ZF","potencial_redox_F","coliformes_termotolerantes_S","coliformes_termotolerantes_ZF","coliformes_termotolerantes_F","cor_verdadeira_S","cor_verdadeira_ZF","cor_verdadeira_F","ferro_dissolvido_S","ferro_dissolvido_ZF","ferro_dissolvido_F","dqo_S","dqo_ZF","dqo_F","oleos_graxas_S","oleos_graxas_ZF","oleos_graxas_F","solidos_totais_S","solidos_totais_ZF","solidos_totais_F","iet_S","iet_ZF","iet_F","sulfeto_S","sulfeto_ZF","sulfeto_F","sulfato_S","sulfato_ZF","sulfato_F","iqa_S","iqa_ZF","iqa_F","surfactantes_S","surfactantes_ZF","surfactantes_F","turbidez_S","turbidez_ZF","turbidez_F","transparencia_S","transparencia_ZF","transparencia_F","dod_S","dod_ZF","dod_F","manganes_total_S","manganes_total_ZF","manganes_total_F","pontos_coleta","data_imagem","data_coleta"
"395","485","651","292","127","72","44","2932","2915","0.2","3","","31.2","26.6","26.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","","","","","","","","","10","","","","","","","","","","","","52","","","","","","","","","1.32","","","","","","","","","3.40","10","","2","","","","","","0.025","","","TM35","24_08_16","25_08_16"
"270","322","411","211","134","79","55","2937","2920","0.2","4.5","","24.4","25.9","26.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","69","","","","","","","","","10","","","","","","","","","","","","69","","","","","","","","","1.99","","","","","","","","","1.79","32.40","","4.50","","","","","","0.025","","","TM40","24_08_16","23_08_16"
"325","460","904","601","260","172","123","2937","2910","0.2","1.5","","29","28.5","28","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","60","","","","","","","","","19","","","","","","","","","","","","60","","","","","","","","","3.32","","","","","","","","","8.48","4.71","","1","","","","","","0.025","","","TM15","04_03_17","17_02_17"
"469","559","1001","843","640","454","330","2893","2862","0.2","0.75","","29.8","27.8","27.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","62","","","","","","","","","55","","","","","","","","","","","","75","","","","","","","","","3.14","","","","","","","","","29.60","23.70","","5","","","","","","0.025","","","TM20","04_03_17","17_02_17"
"327","451","830","478","255","180","131","2939","2912","0.2","1.5","","28.5","27.2","27.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","83","","","","","","","","","22","","","","","","","","","","","","86","","","","","","","","","4.63","","","","","","","","","9.64","6.16","","1","","","","","","0.025","","","TM25","04_03_17","17_02_17"
"158","228","529","256","142","141","117","2976","2936","0.2","1.5","","29.8","28.6","28.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","84","","","","","","","","","11","","","","","","","","","","","","84","","","","","","","","","2.52","","","","","","","","","3.71","4.04","","1","","","","","","0.025","","","TM30","04_03_17","16_02_17"
"220","323","651","247","56","44","33","2959","2926","0.2","3","","30","29","29.1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52","","","","","","","","","10","","","","","","","","","","","","58","","","","","","","","","2.01","","","","","","","","","5.18","4.03","","2","","","","","","0.025","","","TM35","04_03_17","16_02_17"
"327","457","762","320","128","82","63","2954","2921","0.2","3","","31","28.7","28.6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49","","","","","","","","","10","","","","","","","","","","","","50","","","","","","","","","1.78","","","","","","","","","6.60","5.39","","2","","","","","","0.025","","","TM40","04_03_17","16_02_17"
"223","323","749","474","38","7","7","2951","2921","0.2","1.5","","26.3","23.8","22.4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40","","","","","","","","","29","","","","","","","","","","","","40","","","","","","","","","1.77","","","","","","","","","10.10","9.26","","0","","","","","","0","","","TM15","23_03_18","02_03_18"
"214","333","761","566","127","80","71","2948","2917","0.2","1.5","","26.3","24.8","24.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.5","","","","","","","","","42","","","","","","","","","","","","45","","","","","","","","","1","","","","","","","","","14.20","13","","0","","","","","","0.025","","","TM20","23_03_18","02_03_18"
"96","167","379","161","46","44","39","2947","2914","0.2","2.25","","25.8","24.9","24.5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53","","","","","","","","","16","","","","","","","","","","","","53","","","","","","","","","2.92","","","","","","","","","4.98","20.30","","0","","","","","","0.025","","","TM25","23_03_18","02_03_18"
"122","174","451","175","20","24","25","2952","2922","0.2","0.75","","28.9","25.8","25.7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","61","","","","","","","","","10","","","","","","","","","","","","61","","","","","","","","","1.68","","","","","","","","","6.61","8.17","","0","","","","","","0.025","","","TM30","23_03_18","01_03_18"
